name,ilo_ip
at1-encoder-101,192.168.216.1
at1-encoder-102,192.168.216.2
at1-encoder-103,192.168.216.3
at1-encoder-104,192.168.216.4
at1-encoder-105,192.168.216.5
at1-master-1,192.168.216.6
at1-master-2,192.168.216.7
at1-master-3,192.168.216.8
at1-monitoring-7001,192.168.216.9
at1-network-6001,192.168.216.10
at1-network-6002,192.168.216.11
at1-storage-3001,192.168.216.12
at1-storage-3002,192.168.216.13
at1-storage-3003,192.168.216.14
at1-storage-3004,192.168.216.15
at1-storage-3005,192.168.216.16
at1-storage-3006,192.168.216.17
at1-storage-3007,192.168.216.18
at1-storage-3008,192.168.216.19
at1-storage-3009,192.168.216.20
at1-storage-3010,192.168.216.21
at1-storage-3011,192.168.216.22
at1-storage-3012,192.168.216.23
